489264262-82;11864;02/01/2021;2
608767932-58;10743;02/01/2021;3
219026483-80;12047;03/01/2021;3
128671030-19;11975;04/01/2021;2
404572101-40;11636;04/01/2021;4
462120613-47;10586;04/01/2021;2
228348687-80;12312;05/01/2021;4
160765398-51;11099;05/01/2021;4
621995495-85;10532;06/01/2021;2
324796777-08;11324;06/01/2021;3
141181319-09;10325;07/01/2021;3
088986948-56;10652;07/01/2021;2
803877123-78;12736;07/01/2021;3
288496115-65;11167;08/01/2021;2
404489789-05;10374;08/01/2021;3
282797843-50;12300;08/01/2021;5
539376135-32;11293;10/01/2021;2
790302357-24;10519;10/01/2021;3
587169555-17;10052;11/01/2021;3
578853503-43;11726;13/01/2021;3
483731221-43;11196;13/01/2021;3
809567124-36;11952;14/01/2021;5
180846315-02;11121;14/01/2021;4
181076416-78;11549;15/01/2021;1
451039037-79;11165;15/01/2021;5
447581374-38;10264;15/01/2021;1
337567276-04;11725;15/01/2021;5
835505873-67;11357;15/01/2021;5
481804277-63;10945;16/01/2021;2
086181988-62;10857;16/01/2021;4
498330551-92;10225;17/01/2021;2
136972212-61;11579;17/01/2021;3
129546019-58;11143;17/01/2021;3
651770684-03;11053;18/01/2021;4
343952357-85;11167;18/01/2021;4
711393099-48;11024;18/01/2021;2
053302799-55;12491;18/01/2021;3
541398315-93;10889;19/01/2021;3
216578630-11;10732;19/01/2021;3
761183307-14;11528;19/01/2021;3
763847635-35;10325;19/01/2021;5
812663439-01;11121;21/01/2021;3
742423668-13;12180;23/01/2021;3
168088836-31;10108;24/01/2021;2
533247703-45;11094;24/01/2021;3
406806816-88;10921;24/01/2021;3
524852449-89;12436;24/01/2021;3
246011875-72;12427;25/01/2021;5
735716905-52;11547;25/01/2021;5
043107227-75;10096;25/01/2021;4
403052259-61;10016;26/01/2021;3
362309080-99;11612;26/01/2021;3
525267401-99;10263;26/01/2021;4
819121653-31;10385;26/01/2021;5
600837470-49;12494;26/01/2021;4
471361443-78;10016;28/01/2021;3
719583891-40;11636;28/01/2021;4
273207619-32;11070;29/01/2021;4
709825784-33;10362;29/01/2021;3
376233998-15;10845;29/01/2021;2
136248219-27;11612;29/01/2021;3
129413481-13;11849;30/01/2021;3
112964139-37;10600;30/01/2021;3
606261357-12;10601;31/01/2021;4
151279261-81;12252;31/01/2021;5
771199892-19;12399;31/01/2021;4
654216968-97;11293;31/01/2021;3
589517109-60;11800;01/02/2021;4
260432743-65;10208;01/02/2021;1
149459282-53;10476;01/02/2021;4
628653084-97;10456;02/02/2021;4
262895334-95;11627;02/02/2021;5
156405143-05;12109;02/02/2021;4
250166581-20;12591;02/02/2021;3
087346195-91;12478;03/02/2021;2
621892031-93;11932;03/02/2021;2
534194937-63;11615;03/02/2021;3
228065145-95;12555;04/02/2021;1
773905058-59;10288;04/02/2021;1
733500285-81;11636;04/02/2021;3
666810710-21;10463;04/02/2021;4
043032202-67;12438;05/02/2021;3
268189510-44;11843;05/02/2021;5
561371921-19;12626;06/02/2021;1
767280952-44;12713;07/02/2021;2
240864165-19;10172;08/02/2021;4
654416569-45;11099;08/02/2021;5
171995692-04;12507;09/02/2021;4
519985902-13;12667;09/02/2021;1
486467155-34;11342;10/02/2021;4
060548851-47;11932;10/02/2021;1
249659850-81;10384;10/02/2021;4
311163144-14;12312;11/02/2021;4
754194401-58;11088;11/02/2021;2
297207751-20;10793;11/02/2021;5
224906116-96;10719;11/02/2021;4
102012801-52;10447;12/02/2021;2
161932119-91;10770;12/02/2021;1
069502569-84;10743;13/02/2021;3
089115196-62;10108;13/02/2021;3
420105889-04;12028;13/02/2021;3
696584191-25;10374;14/02/2021;5
576102695-38;11682;14/02/2021;1
108808003-30;10600;15/02/2021;3
450889069-84;11453;15/02/2021;1
273567472-00;11382;16/02/2021;3
280851148-04;10549;16/02/2021;3
833956778-36;12677;17/02/2021;3
804427578-19;11864;18/02/2021;3
686575219-69;11852;18/02/2021;1
744487767-21;11293;20/02/2021;3
324079011-68;10804;20/02/2021;1
333556038-01;10463;20/02/2021;1
175919877-85;11045;22/02/2021;2
124618795-01;10232;22/02/2021;2
730046663-71;10622;23/02/2021;4
540433261-84;11822;23/02/2021;2
068146623-31;12133;24/02/2021;4
205683567-96;12167;24/02/2021;2
458753120-54;10169;24/02/2021;3
310423206-80;12063;25/02/2021;4
422357289-37;12752;25/02/2021;3
129161207-54;11555;25/02/2021;1
663903151-02;12591;25/02/2021;2
141511426-92;10087;26/02/2021;2
407160471-97;12726;26/02/2021;4
491506148-12;11952;26/02/2021;2
814462219-43;11747;26/02/2021;3
352837662-73;10515;26/02/2021;5
560950320-99;11051;26/02/2021;4
706235956-69;11012;28/02/2021;3
543574344-50;12225;28/02/2021;1
511781404-26;10558;28/02/2021;4
672175895-56;11230;28/02/2021;5
806626973-40;11112;29/02/2021;2
564938149-79;12320;29/02/2021;3
171423542-78;11881;29/02/2021;4
214465652-20;10476;29/02/2021;2
583509104-79;11143;29/02/2021;1
619955468-46;11094;01/03/2021;4
308581699-98;11560;01/03/2021;1
543504050-21;12133;02/03/2021;4
636649009-37;10866;02/03/2021;1
316497038-37;12726;03/03/2021;5
645538243-57;12491;03/03/2021;4
367138541-19;11051;04/03/2021;3
535424808-32;12157;05/03/2021;2
164725909-43;12039;05/03/2021;5
697077445-06;10997;06/03/2021;5
158243467-45;10143;06/03/2021;5
562055909-40;11234;07/03/2021;4
398678176-14;11540;07/03/2021;5
297150888-59;12541;07/03/2021;3
163241446-27;11335;08/03/2021;1
041885683-91;11615;09/03/2021;1
380792570-59;12249;09/03/2021;3
584643790-83;11881;09/03/2021;2
738271882-85;10793;09/03/2021;3
392739971-80;11758;10/03/2021;4
254284228-08;11133;10/03/2021;4
426895380-47;11643;11/03/2021;3
598240166-67;12007;11/03/2021;5
656063241-66;11997;11/03/2021;3
802721371-77;10971;11/03/2021;2
281471351-27;11630;11/03/2021;3
678547992-80;12752;11/03/2021;5
791863449-73;10072;13/03/2021;3
079440321-49;12249;13/03/2021;3
514391952-74;12567;14/03/2021;2
755574862-53;12569;15/03/2021;5
088131399-16;12320;15/03/2021;3
346874434-30;12450;15/03/2021;4
228614785-59;10290;16/03/2021;4
418732612-82;10532;16/03/2021;2
350244936-54;10087;17/03/2021;4
472889900-85;11930;17/03/2021;3
248147447-28;10292;18/03/2021;3
835322677-87;10513;19/03/2021;3
568847643-55;10087;19/03/2021;2
826443692-40;11293;21/03/2021;3
470851359-63;11672;22/03/2021;4
704292632-94;11579;23/03/2021;5
114491000-88;11224;24/03/2021;3
040083978-33;11547;25/03/2021;1
398644005-74;11012;25/03/2021;2
338891477-29;12626;25/03/2021;5
486665659-86;12741;25/03/2021;3
060351594-31;12031;26/03/2021;1
760039004-19;11255;26/03/2021;3
558120967-33;12494;26/03/2021;4
146355892-27;12252;27/03/2021;3
135233375-70;11763;27/03/2021;2
197980713-54;11165;28/03/2021;5
754389312-00;12232;30/03/2021;4
167795300-00;11517;31/03/2021;4
425393318-18;11595;31/03/2021;3
781443563-30;11682;31/03/2021;4
530907900-06;12136;31/03/2021;3
137756191-94;10072;31/03/2021;4
095660271-54;12292;01/04/2021;1
508116715-71;12726;01/04/2021;2
063697288-14;10015;01/04/2021;4
621831806-09;11445;01/04/2021;3
355588346-82;12603;02/04/2021;5
092049192-44;12527;03/04/2021;4
744193705-41;11636;03/04/2021;4
134893537-69;11555;04/04/2021;4
185449141-35;11445;04/04/2021;3
116294280-59;10795;04/04/2021;5
471556694-47;10317;04/04/2021;1
765981158-58;11852;05/04/2021;2
375480269-41;10157;05/04/2021;4
393306593-76;12543;06/04/2021;3
206183117-13;10169;06/04/2021;5
088926057-80;10090;07/04/2021;4
118482761-25;11227;08/04/2021;3
832423829-23;10314;08/04/2021;5
390531809-17;10642;08/04/2021;4
183487965-44;10746;10/04/2021;3
426732798-50;10314;10/04/2021;3
700676895-81;11603;10/04/2021;5
361713080-06;11408;10/04/2021;3
517831380-25;11490;11/04/2021;3
772613341-81;11293;11/04/2021;3
227703107-02;10732;12/04/2021;4
672442195-05;10845;12/04/2021;3
083155758-65;10990;12/04/2021;4
521044159-47;12569;13/04/2021;3
845126402-15;11725;14/04/2021;1
247158318-78;10331;14/04/2021;4
433661058-68;10749;14/04/2021;4
265722984-02;12180;15/04/2021;5
180395077-99;12297;15/04/2021;1
